,precision,recall,f1-score,support,model,accuracy,best_score,best_params
0,0.5610531907508007,0.4519270617488603,0.38275934223523855,9652.0,DecisionTree,0.4519270617488603,0.45590586145648315,{'max_depth': 30}
1,0.9554051031625796,0.9552424368006631,0.9552279158310272,9652.0,SVM,0.9552424368006631,0.9455150976909413,{'C': 10}
2,0.8221600056876942,0.7516576875259013,0.7300043893655003,9652.0,KNN,0.7516576875259013,0.7329928952042628,{'n_neighbors': 3}
3,0.9390782509202029,0.9390799834231247,0.9385597743296159,9652.0,RandomForest,0.9390799834231247,0.9291740674955594,{'n_estimators': 200}
4,0.9179614417215016,0.9177372565271447,0.9171415726657862,9652.0,NaiveBayes,0.9177372565271447,0.9076376554174068,"{'alpha': 1, 'fit_prior': True}"
5,0.9365528689128753,0.9365934521342727,0.9363606323031984,9652.0,LightGBM,0.9365934521342727,0.9265541740674955,{'learning_rate': 0.1}
6,0.9442249583879871,0.9442602569415666,0.9439602422682453,9652.0,LogisticRegression,0.9442602569415666,0.9383214920071048,{'C': 10}
7,0.9374046412641414,0.9375259013675922,0.9374262033913815,9652.0,XGBoost,0.9375259013675922,0.9352131438721137,"{'learning_rate': 1, 'n_estimators': 200}"
